,true_value
2013-11-10,85.19601
2013-11-11,65.291176
2013-11-12,78.74291
2013-11-13,38.106827
2013-11-14,44.661865
2013-11-15,43.499084
2013-11-16,34.323685
2013-11-17,31.847563
2013-11-18,37.21541
2013-11-19,48.887222
2013-11-20,24.108341
2013-11-21,29.382097
2013-11-22,49.472443
2013-11-23,37.590813
2013-11-24,13.793424
2013-11-25,22.605429
2013-11-26,82.24278
2013-11-27,45.0664
2013-11-28,0.0
2013-11-29,7.469214
2013-11-30,17.376818
2013-12-01,34.079296
2013-12-02,44.37834
2013-12-03,64.17399
2013-12-04,44.062157
2013-12-05,48.4442
2013-12-06,33.122395
2013-12-07,60.62278
2013-12-08,29.704363
2013-12-09,39.766537
2013-12-10,75.6557
2013-12-11,64.8372
2013-12-12,57.54025
2013-12-13,45.77394
2013-12-14,52.576458
2013-12-15,41.989033
2013-12-16,49.943764
2013-12-17,52.99203
2013-12-18,47.802185
2013-12-19,56.325138
2013-12-20,55.873325
2013-12-21,43.61431
2013-12-22,80.43429
2013-12-23,3.515446
2013-12-24,38.283756
2013-12-25,9.213264
2013-12-26,17.941654
2013-12-27,38.02827
2013-12-28,13.932624
2013-12-29,18.357426
2013-12-30,52.534718
2013-12-31,30.17748
2014-01-01,9.55721
2014-01-02,50.325134
2014-01-03,31.436523
2014-01-04,50.25759
2014-01-05,96.903854
2014-01-06,60.028408
2014-01-07,41.944077
2014-01-08,40.65292
2014-01-09,47.423046
2014-01-10,56.948704
2014-01-11,49.739635
2014-01-12,58.969296
2014-01-13,43.10357
2014-01-14,26.751326
2014-01-15,48.827297
2014-01-16,49.40103
2014-01-17,44.33914
2014-01-18,31.887672
2014-01-19,24.742582
2014-01-20,58.26499
2014-01-21,46.221306
2014-01-22,54.93203
2014-01-23,46.9147
2014-01-24,63.06488
2014-01-25,42.068474
2014-01-26,25.137104
2014-01-27,43.457287
2014-01-28,42.965324
2014-01-29,42.946705
2014-01-30,43.66981
2014-01-31,41.280235
2014-02-01,36.760994
2014-02-02,32.173958
2014-02-03,62.495354
2014-02-04,90.706436
2014-02-05,43.35145
2014-02-06,36.865063
2014-02-07,42.822834
2014-02-08,34.96933
2014-02-09,20.256433
2014-02-10,57.056873
2014-02-11,45.263035
2014-02-12,45.955505
2014-02-13,48.23696
2014-02-14,36.1887
2014-02-15,30.209373
2014-02-16,31.735641
2014-02-17,23.93926
2014-02-18,39.800426
2014-02-19,42.425995
2014-02-20,48.578625
2014-02-21,40.54854
2014-02-22,34.49619
2014-02-23,43.3559
2014-02-24,50.293163
2014-02-25,63.1934
2014-02-26,41.974903
2014-02-27,54.259537
2014-02-28,38.163685
2014-03-01,37.233868
2014-03-02,24.559721
2014-03-03,57.5043
2014-03-04,27.1839
2014-03-05,47.74448
2014-03-06,6.363449
2014-03-07,0.0
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,0.648014
2014-03-11,47.184284
2014-03-12,54.46118
2014-03-13,34.489334
2014-03-14,48.679577
2014-03-15,40.98934
2014-03-16,25.809572
2014-03-17,37.49575
2014-03-18,47.15272
2014-03-19,51.23732
2014-03-20,59.72879
2014-03-21,65.045334
2014-03-22,43.831875
2014-03-23,50.791077
2014-03-24,38.7595
2014-03-25,35.709034
2014-03-26,46.528206
2014-03-27,50.95243
2014-03-28,29.99217
2014-03-29,20.297295
2014-03-30,17.519194
2014-03-31,44.4932
2014-04-01,60.315674
2014-04-02,81.34839
2014-04-03,39.276352
2014-04-04,32.464962
2014-04-05,35.862675
2014-04-06,22.011913
2014-04-07,34.798477
2014-04-08,46.97037
2014-04-09,39.887848
2014-04-10,55.32927
2014-04-11,42.442345
2014-04-12,58.39373
2014-04-13,26.493288
2014-04-14,46.23103
2014-04-15,70.77953
2014-04-16,32.014465
2014-04-17,72.235245
2014-04-18,52.760895
2014-04-19,68.71514
2014-04-20,22.179232
2014-04-21,59.486958
2014-04-22,47.30443
2014-04-23,37.7406
2014-04-24,54.99908
2014-04-25,64.4312
2014-04-26,38.707787
2014-04-27,39.486393
2014-04-28,41.236465
2014-04-29,54.22271
2014-04-30,61.052925
2014-05-01,44.760876
2014-05-02,44.13441
2014-05-03,30.21007
2014-05-04,28.359411
2014-05-05,65.49049
2014-05-06,71.04828
2014-05-07,19.097086
2014-05-08,54.28826
2014-05-09,55.692802
2014-05-10,32.6407
2014-05-11,28.641588
2014-05-12,53.283195
2014-05-13,30.555935
2014-05-14,49.601208
2014-05-15,19.082714
2014-05-16,28.489126
2014-05-17,16.634672
2014-05-18,33.582066
2014-05-19,40.15939
2014-05-20,23.454391
2014-05-21,46.31252
